Frequency(Hz)	Amplitude
0.0	3.561027278279095043e+00
1.0	6.787724518892411574e+00
2.0	7.126239180351189084e+00
3.0	2.051262263245778872e-01
4.0	8.677405177892881127e+00
5.0	5.355354531377489735e+00
6.0	1.058875984564747741e+00
7.0	2.295335007956318396e+00
8.0	1.281180180281810133e+00
9.0	4.694619976520786331e-01
10.0	5.972238290947764483e+00
11.0	2.510662742841729411e-01
12.0	5.939115278169460055e-01
13.0	7.639692881423143511e+00
14.0	9.722010244636226872e+00
15.0	1.975449589210559465e+00
16.0	9.848006795302954863e-01
17.0	6.142287996201623024e+00
18.0	4.693763548785431894e+00
19.0	7.948074479562864170e+00
20.0	2.401634589183077928e+00
21.0	3.118889392712387298e+00
22.0	2.024587497170266204e+00
23.0	8.859926765881558808e+00
24.0	4.525229913798193060e+00
25.0	4.593583881984454109e+00
26.0	4.926454153994664686e+00
27.0	1.490561967750829719e+00
28.0	2.832467209303465516e+00
29.0	2.813641337648423502e+00
30.0	2.374657040237708738e+00
31.0	1.361074139537191696e+00
32.0	2.412547273370020395e+00
33.0	1.769245283433253935e+00
34.0	8.831545291937359821e+00
35.0	7.410940101772600652e-01
36.0	1.317270245224657632e+00
37.0	1.070916304293441090e+00
38.0	4.123244088780420036e-01
39.0	5.514549917616642816e+00
40.0	8.976238468912292490e+00
41.0	4.162028822960783359e+00
42.0	9.091483338410071724e+00
43.0	3.761417760349674566e+00
44.0	4.208106778131846859e+00
45.0	4.077599615772941277e+00
46.0	3.592962609685037556e+00
47.0	7.164889379743951459e+00
48.0	4.402694272177297918e+00
49.0	6.559146692802225509e+00
50.0	2.912227193089687027e+00
51.0	4.707083065765797159e+00
52.0	5.274996012876684404e+00
53.0	9.440761798785063164e+00
54.0	6.051684183316131893e+00
55.0	3.587637476096117162e+00
56.0	9.355181758206718712e+00
57.0	8.163869300008034458e+00
58.0	8.258762453933535141e+00
59.0	2.298822608944711909e+00
60.0	5.000663872360043172e+00
61.0	6.362909941963479810e+00
62.0	5.213276459067031077e+00
63.0	4.034820637104495233e+00
64.0	4.598453624464763578e+00
65.0	1.908489812362518245e+00
66.0	9.862798602263811443e-01
67.0	4.124873246115701164e-01
68.0	5.603610711745274919e+00
69.0	1.332716413058706584e+00
70.0	9.714142464105732344e+00
71.0	8.094045682392378538e+00
72.0	5.077853934668943303e+00
73.0	2.562585898368242354e+00
74.0	9.318735233001753215e+00
75.0	8.703958254858930488e+00
76.0	4.104255966307235326e+00
77.0	4.349541076172180887e-01
78.0	5.988108914803758509e+00
79.0	1.391290295319412840e+00
80.0	7.643526321159666015e-01
81.0	8.836735043990488592e+00
82.0	3.507113933467183031e+00
83.0	7.621608504746213431e-01
84.0	8.440141673138040090e+00
85.0	7.681365740403666820e+00
86.0	6.076249163081113736e+00
87.0	9.520962943130411915e+00
88.0	8.530035802034682035e+00
89.0	3.824034104214605101e+00
90.0	8.281285665244155325e+00
91.0	4.754689904799466404e+00
92.0	6.084159817433923756e+00
93.0	1.506807783325692096e+00
94.0	6.106308037661860588e+00
95.0	6.850724525353947492e+00
96.0	6.397416429502777113e+00
97.0	4.881133584472676645e+00
98.0	9.148526926680268900e+00
99.0	5.797614057832008783e+00
100.0	4.636372310044956091e-01
101.0	9.303886787530906588e+00
102.0	9.472556576829072483e+00
103.0	9.323783749213605532e+00
104.0	2.976000442372409793e+00
105.0	8.343735896652603401e+00
106.0	1.580868251930587220e+00
107.0	2.206752004493029773e+00
108.0	4.219641236035910126e+00
109.0	3.011920043783107293e+00
110.0	8.854423082887500129e+00
111.0	3.461114268585098408e+00
112.0	2.592064494394695551e+00
113.0	9.382339773289011475e+00
114.0	9.654872734364257525e+00
115.0	5.349040894828468673e+00
116.0	3.904548038974829716e+00
117.0	9.851754765840194494e+00
118.0	4.196822770208062714e+00
119.0	6.284960767921874414e+00
120.0	7.271146431163082013e+00
121.0	7.455929677017487656e+00
122.0	8.309871870112207404e+00
123.0	7.296069655364112450e-02
124.0	6.753181371968936197e+00
125.0	8.303865608256051800e+00
126.0	8.363496205393149197e+00
127.0	1.610255927427107769e+00
128.0	4.752855024569765163e+00
129.0	5.171088002040536757e+00
130.0	2.457829282953372108e+00
131.0	1.783284853443035667e+00
132.0	8.832183415546971617e+00
133.0	7.490640984458335261e+00
134.0	7.998221150500635979e+00
135.0	4.994688586490664051e+00
136.0	4.595301193201839496e-02
137.0	2.122621115008031190e+00
138.0	2.340810894052729463e+00
139.0	2.706195301753990812e+00
140.0	5.069894935971779759e+00
141.0	5.260990417868870672e+00
142.0	1.941832551814024477e+00
143.0	5.262449670222642872e+00
144.0	9.743843302136539819e+00
145.0	4.337041611627390214e-01
146.0	7.385891152903845125e+00
147.0	2.148876973155642300e+00
148.0	1.476686158592588338e-01
149.0	6.149624558171287170e+00
150.0	5.344020732149362019e+00
151.0	1.626916325126490648e+00
152.0	2.949734813826202284e+00
153.0	8.644119020692430766e+00
154.0	9.488793743342364806e+00
155.0	3.711485334664581526e+00
156.0	7.684134954619175062e+00
