Frequency(Hz)	Amplitude
0.0	2.523367336983869613e+00
1.0	5.365572400216121807e+00
2.0	9.220508009157988738e+00
3.0	8.643720814825757159e+00
4.0	2.752331614269069249e+00
5.0	8.227628879260898032e+00
6.0	7.342294622629612633e+00
7.0	2.920833354106855406e+00
8.0	1.453077642793018098e+00
9.0	9.942029072980769655e+00
10.0	7.485013294255260519e+00
11.0	3.392590838854849800e+00
12.0	4.853381961905334219e-01
13.0	1.827831852042910432e+00
14.0	1.354287743982389713e+00
15.0	8.657114355423638941e+00
16.0	8.836221216234159570e+00
17.0	7.538607866763805454e+00
18.0	3.193916311479272352e-01
19.0	5.484116198826986199e+00
20.0	5.691542167792214002e+00
21.0	2.495522780580069266e+00
22.0	8.275511489688005540e+00
23.0	9.029460685296761824e+00
24.0	8.605820393343222463e+00
25.0	9.551269861055201815e+00
26.0	8.364227103607625224e+00
27.0	4.189621591006349455e+00
28.0	1.087901961157711206e-01
29.0	9.321330469965751320e+00
30.0	2.482942086557098360e+00
31.0	9.671761274899697725e+00
32.0	1.521571752981607517e+00
33.0	9.578378017563341729e+00
34.0	6.697296897567778018e+00
35.0	5.337528259396723485e+00
36.0	6.165875434455419857e+00
37.0	2.297532929803871582e+00
38.0	4.592721770114367885e+00
39.0	5.599092648158484842e+00
40.0	9.412851415308388425e+00
41.0	7.903778680790444433e+00
42.0	5.515310235938900796e+00
43.0	3.078486570375150500e+00
44.0	9.607821994788086073e+00
45.0	7.656572790683701335e+00
46.0	3.888125241629361017e+00
47.0	1.804188965015307566e+00
48.0	3.678940751236730033e+00
49.0	3.825463799914317065e+00
50.0	5.189876741275273986e+00
51.0	8.663612070384184349e+00
52.0	4.295941514586010257e-01
53.0	7.304991497754170560e+00
54.0	8.825626450864756833e+00
55.0	8.128846236242623036e+00
56.0	3.960590394464006181e+00
57.0	8.350531766592780514e+00
58.0	7.158032455663910554e+00
59.0	1.782052189631022632e-01
60.0	3.679756473192242971e+00
61.0	4.365450879453907085e+00
62.0	9.613882883980884309e-01
63.0	6.417323922125874880e+00
64.0	5.350124449062589882e+00
65.0	3.149385222538705342e+00
66.0	5.788432928635939945e+00
67.0	2.219467464236309695e+00
68.0	4.613650879172226382e+00
69.0	4.946755456090663472e+00
70.0	7.481959660021449743e+00
71.0	9.752139700724086424e+00
72.0	4.775012957120265078e+00
73.0	9.172030226964292154e+00
74.0	2.581789473783441480e+00
75.0	4.198425024471380773e+00
76.0	3.687943782817146854e+00
77.0	1.786874142729539816e+00
78.0	6.362184524648506478e-01
79.0	4.569411266545772676e+00
80.0	3.608402807354198494e+00
81.0	5.812441057105157682e+00
82.0	4.899473569699644315e+00
83.0	1.837137740077307013e+00
84.0	9.800315618578011367e+00
85.0	6.809045171899964721e+00
86.0	9.523391420603312341e+00
87.0	4.583945300165327197e+00
88.0	8.284746553638679956e+00
89.0	8.604949793234851541e+00
90.0	6.953833888083964965e+00
91.0	9.308333769211516895e+00
92.0	8.827862410893986933e+00
93.0	4.314435466793540286e+00
94.0	3.160124459753756998e+00
95.0	8.547183214084743241e+00
96.0	1.201037077158750854e+00
97.0	8.564613134661114291e-01
98.0	4.233673974611137147e+00
99.0	1.735283861205615397e+00
100.0	6.591485093691957786e+00
101.0	4.722264385563726741e+00
102.0	2.228418257503657074e+00
103.0	4.424031761815471420e+00
104.0	9.783762570021115046e-01
105.0	5.920180193122196677e+00
106.0	3.475386740455324919e+00
107.0	1.265170087348975736e+00
108.0	8.176634515535148751e+00
109.0	2.604060127614116205e+00
110.0	1.496795460517794663e+00
111.0	6.012809846191546903e+00
112.0	3.568001066545881450e+00
113.0	9.310232919987420530e+00
114.0	5.232961879855862364e+00
115.0	7.124338914499347197e+00
116.0	1.305409879725568656e+00
117.0	8.218926676845106361e-01
118.0	5.428381427483205179e+00
119.0	2.693862038192247343e+00
120.0	6.904353409259749164e+00
121.0	2.827657007666986022e+00
122.0	5.427935409087925045e+00
123.0	2.010223572992951624e+00
124.0	3.619982322277831344e+00
125.0	3.380191978179105661e+00
126.0	8.799671802438455259e+00
127.0	1.655825149192829970e+00
128.0	5.803698094347718772e+00
129.0	5.620298650952262776e+00
130.0	7.638147333363949798e+00
131.0	6.355880966198401705e-01
132.0	8.202132527660582539e+00
133.0	7.686990505105312010e+00
134.0	2.619185459692024764e+00
135.0	7.347953872149895815e+00
136.0	1.982250058248036240e-01
137.0	7.794556175753415417e+00
138.0	6.843754242703240287e+00
139.0	5.396720300684587635e+00
140.0	3.017771679863832102e+00
141.0	6.784002386361574821e+00
142.0	8.469035856986163679e+00
143.0	3.325383885336810064e+00
144.0	1.082287381937439008e+00
145.0	3.362223473554035724e+00
146.0	8.288459064621919836e+00
147.0	1.600970542802072627e+00
148.0	2.928742883163947042e+00
149.0	6.134079206516242166e+00
150.0	4.395768703107227005e+00
151.0	6.186177640902381647e+00
152.0	3.598119518577429510e+00
153.0	7.814799892225499534e+00
154.0	3.262743175151801012e+00
155.0	8.346981127220068686e+00
156.0	5.382132489874157599e+00
157.0	8.982484966388536662e+00
158.0	7.909082727659525247e+00
159.0	1.887912241064263474e+00
160.0	5.815077486192118172e+00
161.0	8.069053023641224343e+00
162.0	7.879558710999496007e+00
163.0	9.470463407611140028e+00
164.0	6.952384147074161191e+00
165.0	1.728781723455837804e+00
166.0	7.920171134292175452e-01
167.0	5.571248665406354661e+00
168.0	6.049370216330528294e+00
169.0	6.115698970730088391e+00
170.0	5.302786712647666434e+00
171.0	2.158041522037855486e+00
172.0	5.748546192643757990e+00
173.0	4.904543373921126381e+00
174.0	6.612836065300509159e-01
175.0	1.992512238862131912e+00
176.0	7.952365761197556004e+00
177.0	8.425519696906592415e+00
178.0	3.851196631898083034e+00
179.0	2.400136145788845710e+00
180.0	4.001917193101778736e+00
181.0	6.478256725378467529e+00
182.0	3.016416780514324714e+00
183.0	3.203945485827040862e+00
184.0	4.154781393370121645e-01
185.0	2.595490150119292849e+00
186.0	1.982824256116850759e+00
187.0	1.412644310373502021e+00
188.0	8.144643468550540888e+00
189.0	7.650286968419822031e+00
190.0	7.830962648247867364e+00
191.0	8.117124098042467040e+00
192.0	6.723701362152532113e+00
193.0	2.468537243751756982e+00
194.0	1.429945237373341227e+00
195.0	2.795775817569878807e+00
196.0	3.180720646783685712e+00
197.0	1.013408905707550156e+00
198.0	9.140319969751965701e+00
199.0	9.075712100324150100e+00
200.0	2.425605859054101643e+00
201.0	1.891906707896936490e+00
202.0	3.164733539687537345e+00
203.0	5.610869078185870329e+00
204.0	4.325025234690306419e+00
205.0	1.804113834539190497e+00
206.0	6.521455144667842596e+00
207.0	3.233304749517851295e-01
208.0	2.010846072096042825e+00
209.0	6.526562046843953357e-01
210.0	2.471462054706864642e+00
211.0	8.786489891467565982e+00
212.0	8.422644233110531786e+00
213.0	1.203574459410381436e+00
214.0	5.507599516617602831e+00
215.0	6.844944481904622791e+00
216.0	3.107017024385539727e+00
217.0	1.652323630208876182e+00
218.0	1.602447437192821011e+00
219.0	1.927270472408546542e+00
220.0	5.627807561964543126e+00
221.0	8.956754015209964948e+00
222.0	8.820250427790416126e+00
223.0	6.771777951011310748e+00
